name,nickname,born,record,earnings_$,height_cm,reach_cm,weight_kg,weight_class,last_fight
Ilia Topuria,El Matador,1997.01.21,15-0-0 (Win-Loss-Draw),"$200,000 USD","5'7"" (170cm)","69.0"" (175cm)",144.5 lbs,Featherweight,"February 17, 2024"
"宋亚东, Song Yadong",Kung Fu Kid,1997.12.02,"21-8-1, 1 NC (Win-Loss-Draw)","$486,000 USD","5'8"" (173cm)","67.0"" (170cm)",136.0 lbs,Bantamweight,"March 09, 2024"
Charles Oliveira,do Bronx,1989.10.17,"34-10-0, 1 NC (Win-Loss-Draw)","$1,347,600 USD","5'10"" (178cm)","74.0"" (188cm)",156.0 lbs,Lightweight,"April 13, 2024"
Александр Волков,Drago,1988.10.24,37-10-0 (Win-Loss-Draw),"$315,000 USD","6'7"" (201cm)","80.0"" (203cm)",263.0 lbs,Heavyweight,"September 09, 2023"
Amanda Nunes,The Lioness,1988.05.30,23-5-0 (Win-Loss-Draw),"$2,428,500 USD","5'8"" (173cm)","69.0"" (175cm)",135.0 lbs,Bantamweight,"June 10, 2023"
Maria Lupita Godinez,Loopy,1993.09.06,12-4-0 (Win-Loss-Draw),"$95,000 USD","5'2"" (157cm)","61.0"" (155cm)",115.0 lbs,Strawweight,"March 30, 2024"
Nicolas Dalby,Danish Dynamite,1984.11.16,"23-4-1, 2 NC (Win-Loss-Draw)","$100,000 USD","5'11"" (180cm)","74.5"" (189cm)",170.5 lbs,Welterweight,"November 04, 2023"
Edson Mendes Barboza,Junior,1986.01.21,24-12-0 (Win-Loss-Draw),"$1,306,000 USD","5'11"" (181cm)","75.0"" (191cm)",145.5 lbs,Featherweight,"May 18, 2024"
Brandon Moreno,The Assassin Baby,1993.12.07,21-8-2 (Win-Loss-Draw),"$656,000 USD","5'7"" (170cm)","70.0"" (178cm)",126.0 lbs,Flyweight,"February 24, 2024"
Maycee Barber,The Future,1998.05.18,14-2-0 (Win-Loss-Draw),"$79,000 USD","5'5"" (165cm)","65.0"" (165cm)",125.0 lbs,Flyweight,"March 09, 2024"
Belal Muhammad,Remember the Name,1988.07.09,"23-3-0, 1 NC (Win-Loss-Draw)","$372,000 USD","5'11"" (180cm)","72.0"" (183cm)",170.0 lbs,Welterweight,"May 06, 2023"
Khalil Ibn Rountree Jr.,The War Horse,1990.02.06,"13-5-0, 1 NC (Win-Loss-Draw)","$342,000 USD","6'1"" (185cm)","76.5"" (194cm)",204.0 lbs,Light Heavyweight,"December 09, 2023"
Роман Копылов,N/A,1991.05.04,13-3-0 (Win-Loss-Draw),"$100,000 USD","6'0"" (183cm)","75.0"" (191cm)",185.0 lbs,Middleweight,"June 01, 2024"
Jonathan Martinez,Dragon,1994.04.20,19-5-0 (Win-Loss-Draw),"$178,000 USD","5'8"" (173cm)","69.5"" (177cm)",136.0 lbs,Bantamweight,"May 04, 2024"
Арман Царукян,Ahalkalakets,1996.10.11,22-3-0 (Win-Loss-Draw),"$250,000 USD","5'7"" (170cm)","72.5"" (184cm)",156.0 lbs,Lightweight,"April 13, 2024"
Elves Brenner Oliveira,N/A,1997.09.27,16-4-0 (Win-Loss-Draw),"$100,000 USD","5'10"" (178cm)","72.0"" (183cm)",156.0 lbs,Lightweight,"May 04, 2024"
"张伟丽, Zhang Weli",Magnum,1989.08.13,25-3-0 (Win-Loss-Draw),"$514,000 USD","5'4"" (163cm)","63.0"" (160cm)",115.0 lbs,Strawweight,"April 13, 2024"
Gilbert Burns,Durinho,1986.07.20,22-7-0 (Win-Loss-Draw),"$643,000 USD","5'10"" (178cm)","71.0"" (180cm)",171.0 lbs,Welterweight,"March 09, 2024"
Khamzat Girikhanov,Borz,1994.05.01,13-0-0 (Win-Loss-Draw),"$250,000 USD","6'2"" (188cm)","75.0"" (191cm)",185.5 lbs,Middleweight,"October 21, 2023"
Michael Malott,Proper,1991.11.07,10-2-1 (Win-Loss-Draw),"$100,000 USD","6'1"" (185cm)","73.0"" (185cm)",170.5 lbs,Welterweight,"January 20, 2024"
Israel Mobolaji Odunayo Adesanya,The Last Stylebender,1989.07.22,24-3-0 (Win-Loss-Draw),"$1,468,000 USD","6'4"" (193cm)","80.0"" (203cm)",184.8 lbs,Middleweight,"September 09, 2023"
Mateusz Tadeusz Rebecki,Rebeasti,1992.10.03,19-2-0 (Win-Loss-Draw),$0 USD,"5'7"" (169cm)","66.0"" (168cm)",155.3 lbs,Lightweight,"May 11, 2024"
Ariane Lipski,Queen of Violence,1994.01.26,17-9-0 (Win-Loss-Draw),"$142,000 USD","5'6"" (168cm)","67.0"" (170cm)",126.0 lbs,Flyweight,"April 27, 2024"
Carlos Sao Murry Ulberg,Black Jag,1990.11.17,10-1-0 (Win-Loss-Draw),"$150,000 USD","6'4"" (193cm)","77.0"" (196cm)",205.0 lbs,Light Heavyweight,"May 11, 2024"
