name,nickname,born,record,earnings_$,height_cm,reach_cm,weight_kg,weight_class,last_fight
Carlos Diego Ferreira,N/A,1985.01.18,19-5-0 (Win-Loss-Draw),"$435,000 USD","5'9"" (175cm)","74.0"" (188cm)",155.0 lbs,Lightweight,"May 11, 2024"
Anshul Jubli,King of Lions,1995.01.13,7-1-0 (Win-Loss-Draw),"$50,000 USD","6'0"" (183cm)","69.0"" (175cm)",155.5 lbs,Lightweight,"October 21, 2023"
Michael Shipman,Sea Bass,1990.06.17,16-4-0 (Win-Loss-Draw),$0 USD,"5'10"" (178cm)","74.0"" (188cm)",185.9 lbs,Middleweight,"May 17, 2024"
Gilbert Urbina,The RGV Bad Boy,1996.04.05,7-3-0 (Win-Loss-Draw),$0 USD,"6'3"" (191cm)","75.0"" (191cm)",171.0 lbs,Welterweight,"February 03, 2024"
Ketlen Vieira,Fenômeno,1991.08.26,14-3-0 (Win-Loss-Draw),"$113,000 USD","5'8"" (173cm)","68.0"" (173cm)",135.0 lbs,Bantamweight,"July 22, 2023"
Sara McMann,N/A,1980.09.24,14-7-0 (Win-Loss-Draw),"$335,000 USD","5'6"" (168cm)","66.0"" (168cm)",145.4 lbs,Featherweight,"October 07, 2023"
Ailin Luciana Perez,Fiona,1994.10.05,10-2-0 (Win-Loss-Draw),$0 USD,"5'5"" (165cm)","66.0"" (168cm)",135.0 lbs,Bantamweight,"June 01, 2024"
Attila Korkmaz,The Fearless,1991.07.23,15-8-0 (Win-Loss-Draw),$0 USD,"5'8"" (173cm)","67.0"" (170cm)",155.6 lbs,Lightweight,"June 08, 2024"
Kai Kamaka III,Fighting Hawaiian,1995.01.05,13-5-1 (Win-Loss-Draw),"$50,000 USD","5'7"" (170cm)","68.0"" (173cm)",145.8 lbs,Featherweight,"April 19, 2024"
Darragh Kelly,The Moville mauler,1998.04.06,5-0-0 (Win-Loss-Draw),$0 USD,"6'0"" (183cm)","72.0"" (183cm)",145.2 lbs,Featherweight,"September 23, 2023"
Ilima-Lei Macfarlane,The Ilimanator,1990.04.02,13-3-0 (Win-Loss-Draw),"$85,000 USD","5'4"" (163cm)","66.0"" (168cm)",126.6 lbs,Flyweight,"October 07, 2023"
андрей корешков Koreshkov Andrey,Spartan,1990.08.23,27-5-0 (Win-Loss-Draw),"$103,000 USD","6'1"" (185cm)","75.0"" (191cm)",170.6 lbs,Welterweight,"April 19, 2024"
Уланбеков Тагир,N/A,1991.07.08,15-2-0 (Win-Loss-Draw),$0 USD,"5'7"" (170cm)","70.0"" (178cm)",126.0 lbs,Flyweight,"December 16, 2023"
Alexander Hernandez,The Great Ape,1992.10.01,14-8-0 (Win-Loss-Draw),"$212,000 USD","5'9"" (175cm)","72.0"" (183cm)",150.0 lbs,Featherweight,"April 06, 2024"
Jefferson Creighton,Jazzy,N/A,10-2-1 (Win-Loss-Draw),$0 USD,"5'11"" (180cm)","74.0"" (188cm)",170.4 lbs,Welterweight,"March 08, 2024"
Aiemann Zahabi,N/A,1987.11.19,11-2-0 (Win-Loss-Draw),"$50,000 USD","5'8"" (173cm)","68.5"" (174cm)",135.5 lbs,Bantamweight,"March 02, 2024"
Slim Trabelsi,N/A,1993.05.09,7-0-0 (Win-Loss-Draw),$0 USD,"6'1"" (185cm)","74.0"" (188cm)",239.5 lbs,Heavyweight,"May 17, 2024"
Мовсар Евлоев,N/A,1994.02.11,18-0-0 (Win-Loss-Draw),"$50,000 USD","5'7"" (170cm)","72.5"" (184cm)",145.8 lbs,Featherweight,"January 20, 2024"
Viecheslav Borshchev,Slava Claus,1992.01.08,7-4-1 (Win-Loss-Draw),"$162,000 USD","5'11"" (180cm)","69.0"" (175cm)",155.0 lbs,Lightweight,"May 11, 2024"
"Валентин Молдавский, Valentin Moldavsky",N/A,1992.02.06,"13-3-0, 1 NC (Win-Loss-Draw)","$42,733 USD","6'1"" (185cm)","75.0"" (191cm)",237.4 lbs,Heavyweight,"April 04, 2024"
Gokhan Saricam,N/A,1991.02.26,9-2-0 (Win-Loss-Draw),$0 USD,"6'3"" (191cm)","76.0"" (193cm)",246.0 lbs,Heavyweight,"June 16, 2023"
Romain Debienne,N/A,N/A,10-5-0 (Win-Loss-Draw),$0 USD,"5'10"" (177cm)","74.0"" (188cm)",170.4 lbs,Welterweight,"April 19, 2024"
Matthew Burton Brown,The Immortal,1981.01.10,24-19-0 (Win-Loss-Draw),"$1,567,000 USD","6'0"" (183cm)","76.0"" (193cm)",170.0 lbs,Welterweight,"May 13, 2023"
Archie Colgan,King,1995.07.22,10-0-0 (Win-Loss-Draw),$0 USD,"5'9"" (175cm)","69.5"" (177cm)",154.9 lbs,Lightweight,"May 17, 2024"
Jeremy Kennedy,JBC,1992.09.16,"19-4-0, 1 NC (Win-Loss-Draw)","$75,000 USD","5'11"" (180cm)","71.0"" (180cm)",145.0 lbs,Featherweight,"March 22, 2024"
Jaylon Bates,New Breed,1997.01.28,7-1-0 (Win-Loss-Draw),"$20,000 USD","5'10"" (178cm)","73.5"" (187cm)",136.0 lbs,Bantamweight,"August 11, 2023"
Morgan Charriere,The Last Pirate,1995.10.26,19-10-1 (Win-Loss-Draw),"$100,000 USD","5'8"" (173cm)","69.0"" (175cm)",145.0 lbs,Featherweight,"April 06, 2024"
Josh Emmett,CC0,1985.03.04,19-4-0 (Win-Loss-Draw),"$573,000 USD","5'6"" (168cm)","70.0"" (178cm)",146.0 lbs,Featherweight,"December 16, 2023"
Michael Parkin,N/A,1995.10.02,9-0-0 (Win-Loss-Draw),$0 USD,"6'4"" (193cm)","79.0"" (201cm)",262.5 lbs,Heavyweight,"March 23, 2024"
Robert Font,N/A,1987.06.25,20-8-0 (Win-Loss-Draw),"$543,000 USD","5'8"" (173cm)","71.5"" (182cm)",135.0 lbs,Bantamweight,"December 02, 2023"
Cody Marcus Brian Durden,N/A,1991.03.29,16-5-1 (Win-Loss-Draw),$0 USD,"5'7"" (170cm)","67.0"" (170cm)",126.0 lbs,Flyweight,"December 16, 2023"
